わたし
たたかう
あまり
ぜんぶ
しゅんかん
せつめい
きめる
じょせい
いただく
てき
おきる
おきる
おちる
あし
それに
さきに
まほう
さがす
こども
おこる
えがお
せんぱい
つづく
こんなに
へん
よむ
とうぜん
じょうほう
みつける
しょうじょ
たいへん
かなり
した
もと
かかる
かかる
いちど
かんぜん
うしろ
なく
じょうたい
かんけい
むける
おく
かるい
かえす
あらわれる
いたい
どうやら
つける
つける
いっしゅん
かくす
じゅんび
そろそろ
おちつく
はずかしい
ばあい
しっかり
しっかり
かみ
もと
える
すぐ
らいげつ
むかし
ちかい
うごき
みつめる
しあわせ
きおく
はんのう
わたしたち
とにかく
かって
こうげき
あける
だまる
さいきん
ぜんいん
せい
ふかい
べつ
きまる
しばらく
おこなう
あがる
となり
とびら
ゆび
けっか
あたえる
みち
のる
とくに
かたち
さあ
ち
さらに
ようい
まける
かみ
じつは
ふく
ふしぎ
いしき
いったい
とりあえず
おくる
では
あんしん
うしなう
こうどう
ふれる
そもそも
すくない
けっきょく
そら
すむ
まかせる
あかい
だいじ
のこす
とまる
あさ
いのち
ふあん
けっこう
けっこう
あたらしい
ていど
かべ
よう
せなか
きづく
いきなり
わたす
よろこぶ
かわいい
はじまる
いろ
みとめる
きゅう
むこう
もとめる
かた
なかま
ようやく
おもわず
ほとんど
とつぜん
じしん
ふたたび
しずか
とぶ
しろい
とどく
うむ
たおす
にる
くうき
こし
な
きけん
つく
つく
あつい
ただいま
いただきます
あわてる
しゅうい
きぶん
じじつ
まず
ほんき
うなずく
とおり
そうぞう
みせ
なんだか
もくてき
ねむる
たしか
じゅうぶん
りょうり
ころ
なかなか
しょうじき
み
いっぱい
うつくしい
あまい
むしろ
くび
かんじょう
まわり
ほうほう
もういちど
おそい
かいわ
あう
やってくる
もり
うごかす
のうりょく
ふるえる
きたい
ぶじ
おこす
おこす
みみ
うまれる
いどう
じゃま
あそぶ
いる
なくなる
くちびる
きる
いろいろ
どうぞ
たちあがる
おもい
いぜん
もうすこし
おそう
みつかる
いそぐ
せっかく
おりる
おりる
きる
じけん
へんじ
ひどい
おもい
おこる
ぎゃく
なっとく
たのしむ
さけぶ
あつまる
かまう
おう
とちゅう
なれる
おわり
いちおう
ひく
うみ
あきらめる
かならず
ねらう
いくら
おとす
ぶぶん
ひっし
めずらしい
いがい
ほうこく
にぎる
けっこん
たたかい
かんしゃ
はげしい
たおれる
すでに
つかれる
せいかつ
ば
あいする
つめたい
すてる
すごす
しょくじ
はたらく
こたえ
かぜ
くろい
たすかる
うけとる
たりる
はんだん
みらい
くう
ぶん
そっち
うまい
あわせる
たいせつ
はな
あやまる
うばう
いきおい
なみだ
ふんいき
うそ
のぞむ
きんちょう
いっしょ
すくう
みずから
じめん
しっぱい
さける
まど
すなお
にく
じょうだん
よゆう
れんらく
じんせい
はなつ
ながれる
とくべつ
れんちゅう
りょうて
ふえる
であう
しょうねん
くりかえす
がまん
われわれ
かんかく
ひびく
なんとか
やま
あたりまえ
よてい
ざんねん
おう
きれい
いらっしゃる
わかい
どうしても
かんがえ
かこ
けはい
ほんにん
げんじつ
けっして
いつか
ゆか
よこ
やすむ
ふりかえる
わざわざ
しつもん
きょうみ
きょり
ないよう
つい
まわる
ならぶ
おえる
たいど
かね
こんや
ゆうべ
さすが
しぜん
ながめる
むく
あいかわらず
ふだん
どうも
はこぶ
やっと
よわい
どうせ
はなす
きぞく
ひろがる
ほお
さびしい
ただしい
じゆう
ぜんしん
ぶき
それぞれ
かたる
もってくる
むすこ
むすめ
いっきに
そっと
つたわる
あたる
いたみ
みょう
かげ
し
たぶん
きょうりょく
みあげる
かくご
つれる
ひくい
き
めんどう
やみ
ひろい
つげる
たたく
じしん
あつめる
ふる
よけい
ほかに
さそう
つきあう
むら
じんぶつ
かず
あぶない
じじょう
ほんとうに
うわさ
ことわる
どうか
きょだい
さいこう
おかね
きず
いかり
どうやって
こうか
とりだす
くろ
あい
ちょくせつ
うかぶ
ぬける
くらい
いき
だめ
てん
さんか
はっきり
かく
えがく
むし
せいと
くわしい
さわる
これまで
はんぶん
たえる
たちば
いし
あいさつ
そうだん
うけいれる
れんしゅう
むだ
かかえる
しめす
せいこう
だく
あじ
だんせい
ひてい
いたす
げんざい
かがやく
ねつ
はじめ
きびしい
におい
せき
うる
くらす
りよう
ふと
けいけん
へんか
おうじ
まんぞく
どんどん
めいれい
おも
おいしい
てがみ
つかむ
たにん
かっこう
こうけい
すっかり
どちら
おや
じだい
さくせん
もしかしたら
くるしい
あかるい
げんいん
ろうか
そいつ
さきほど
おとな
ひとびと
なでる
たてる
たまに
おす
へいき
かなしい
かくれる
まだまだ
みなさん
もどす
せんとう
ひ
ほのお
きょうふ
まよう
よろしい
きかい
おそろしい
かりる
はずす
ち
はやい
みじかい
きにいる
あらためて
うるさい
あてる
つつむ
いち
うつ
めざす
ひみつ
やしき
げんかい
しょうぶ
ほし
あきらか
なやむ
しゅうちゅう
まちがう
うら
うすい
ねがう
かいふく
ながす
じっと
ほんもの
まさに
とりもどす
なにより
しんたい
ほうこう
とおる
くうかん
つく
かのう
あらた
ずいぶん
たずねる
いす
しろ
おそらく
おちゃ
あめ
いやいや
そのもの
きょうしつ
ばか
えんりょ
まずい
まずい
せめて
むかえる
すくなくとも
たましい
けす
ちょうし
おたがい
にあう
ねこ
いぬ
おれい
こうかい
きぼう
さがる
おとずれる
ほめる
せいかく
しゃしん
くすり
ゆうじん
かつて
かくじつ
もはや
さる
いちぶ
とおく
はら
かいだん
てきとう
した
よそう
こうふん
かかわる
しろ
すすめる
しんけん
せまる
ほぼ
ちょうど
ぎもん
しじ
ゆれる
そうとう
らく
かんちがい
けいかい
たしかめる
つき
うたがう
でんわ
せいちょう
するどい
しょうこ
しょうかい
じっさい
なんでも
さぎょう
じゅうよう
かぎ
しょうげき
まきこむ
さしだす
ぐん
そちら
くやしい
ぬく
はかい
うんめい
あんない
どりょく
いずれ
ひとこと
ついに
しんぞう
にもつ
のびる
りょうしん
りょう
はらう
にどと
あたり
かいし
かいほう
なかよく
けもの
とれる
たてもの
ほんらい
あつかう
まじめ
えいきょう
まっか
はっけん
ささえる
だいいち
おとうさん
おかあさん
おにいさん
おねえさん
おじさん
おばさん
いとこ
つくえ
どうし
おくれる
くるま
とびだす
じたい
みかた
てんかい
がくえん
あやしい
かた
ながれ
のこり
ぐうぜん
やわらかい
かんしょく
じょし
なし
こわれる
にがて
ためす
りっぱ
まわす
なぜか
いけん
たいりょう
ていあん
せきにん
おさえる
ぜんりょく
のばす
きゃく
おうこく
ていこう
こんらん
じょうけん
めいわく
れい
たよる
かんぺき
ひび
こうい
ともかく
へる
きらう
しりあい
しこう
かいけつ
れいせい
てん
いつのまにか
なおす
つねに
はんにん
きょか
とじる
かさねる
ほそい
ひさしぶり
めだつ
とうちゃく
おさえる
かよう
なぐる
ひろげる
ひっぱる
いつまでも
まにあう
りょうかい
ばん
せんそう
さむい
みごと
さけ
こいびと
いっさい
あな
いらい
なかみ
たしょう
しんじつ
みため
まちがい
あおい
からい
つらい
たいおう
ひかる
くろう
つうじる
つみ
じゅぎょう
さいあく
さ
しんよう
こわす
しき
にんぎょう
むすぶ
あんなに
けいかく
かこむ
ちしき
きり
ちゅうい
いいかた
たつ
せ
とう
こい
とんでもない
ちゅうしん
あせ
いじょう
ひじょう
ひざ
わずか
やく
あせる
かわ
あくま
ゆいいつ
もうすぐ
ちゅうおう
つっこむ
ぎじゅつ
すばらしい
たんじゅん
おだやか
うつ
ひろう
かんせい
どく
うま
おおう
しゅみ
どうにか
なんとなく
かち
みまもる
あんぜん
つれてくる
そば
まん
がく
うけとめる
すてき
しょうたい
あっさり
すう
なる
けんきゅう
まとめる
わかれる
ふざける
きがえる
はこ
むごん
なんで
うらぎる
やく
けが
もん
ふかのう
つま
ときには
はつげん
せいかく
にんしき
そくど
なぞ
もじ
はく
おに
しげき
もっとも
せいふく
ばくはつ
くんれん
ふりむく
ぬぐ
しんらい
よる
とばす
かす
ぱん
ありがたい
あか
だいたい
きちんと
のど
しょうしょう
ゆうめい
ふね
ころがる
きれる
たった
わだい
ぬれる
ついでに
よびだす
かくしん
こめる
じかく
あく
すく
けいさつ
ひめい
つかまえる
さっそく
おなか
そうじ
かたい
さい
もらす
めん
ふまん
おどろき
たび
え
くむ
ちんもく
はる
こくはく
なめる
つぶす
ふくめる
じき
かつどう
そだてる
ゆうしゅう
よかん
とく
もともと
あふれる
はっせい
びみょう
ちがい
ちょくご
ちか
かおり
きく
しよう
どうぐ
ねがい
あらう
しゅだん
ごかい
おうえん
ふくむ
とうじ
しょうり
ふる
ゆき
いりぐち
いっぽう
ふるい
やくにたつ
なつかしい
もしも
さいのう
にげだす
さまざま
びょういん
くらべる
こおり
せまい
かみさま
どうよう
ちょう
なお
ものがたり
もんく
いたる
さかな
とり
うつる
いっしょう
かみ
もうす
ふくざつ
なげる
できごと
ぶか
たっぷり
じつりょく
さゆう
せんたく
ちょうさ
たとえば
みおくる
もっとも
したがう
とおす
まちがえる
たいりょく
はたす
さわぐ
とびこむ
ます
ぶつかる
おもいで
てんじょう
へいし
みちる
たまらない
あじわう
でかける
せおう
そろう
こきゅう
まね
にんき
えらい
いよいよ
たいしょう
ととのえる
しずむ
ちじょう
ようじ
よる
はんたい
たもつ
れきし
しま
それほど
じつに
おそれる
あくまで
はな
たんとう
かたて
おさない
まなぶ
ごういん
まくる
もれる
ぜんたい
ど
なさけない
たいよう
あまえる
ふむ
いんしょう
したい
しはい
げんば
ぜつぼう
さっする
いらい
ただよう
さぐる
さいだい
さげる
つかまる
とまどう
いいわけ
しょうめい
まいる
みおろす
もえる
たまる
あばれる
こえる
せいしん
だんし
せんげん
はさむ
ふせぐ
あずける
かぎる
せめる
くずれる
いちども
ぼんやり
そのうち
かがみ
つらぬく
かたまる
へいわ
いし
へた
つづき
いのる
ごご
どうよう
はずれる
うたう
かい
かたい
さいきょう
ひく
せいかい
きつい
おかげ
じごく
ねんれい
びょうき
けいたい
ますます
ならべる
けいやく
えいえん
ふいに
のろい
くみ
おどる
めざめる
じこ
ふくろ
はで
いまさら
まっすぐ
ゆだん
ぶつける
そだつ
きずつく
はっする
しゅうりょう
あしおと
けつい
かんしん
のみこむ
かりに
おかし
そまる
わらい
かいもの
うた
にわ
いきもの
とくしゅ
つれていく
げんじょう
だいぶ
そこ
がくせい
ていねい
はんい
テレビ
びじん
わざ
しょうらい
きろく
おとなしい
ほね
もくひょう
にくたい
とどける
あしもと
さがす
わざと
いかが
ぬの
しゅるい
みたす
けしき
ゆうき
きょうか
くわえる
いいだす
おさまる
そしき
すきま
ほんじつ
せんじつ
げつようび
かようび
すいようび
もくようび
きんようび
どようび
にちようび
ひとつ
ふたつ
みっつ
よっつ
いつつ
むっつ
ななつ
やっつ
ここのつ
ひょうか
