離れる,v1 vi
失う,v5u vt
大好き,adj-na
落ちる,v1 vi
地面,n
飲む,v5m vt
魔法,n adj-no
誘う,v5u vt
過ぎる,v5r vi
休む,v5m vi
例,n
者,n
三つ,num
漂う,v5u vi
長,n
服,n n-suf
薬,n
何とか,exp
有名,adj-na
日本語,n
香り,n
可愛い,adj-i
申す,v5s vt
次,n adj-no
巨大,adj-na n
隠れる,v1 vi
暗い,adj-i
多く,n adv adj-no
悩む,v5m vi
致す,v5s vt
何でも,exp
目的,n
役,n
激しい,adj-i
弟,n
久しぶり,adj-na adj-no n
美味しい,adj-i
日本,n
少ない,adj-i
切る,v5r vt
返事,n vs vi
大きい,adj-i
正直,adj-na n
覚悟,n vs vt
発する,vs-s vt
廊下,n
願い,n
挨拶,n vs vi
下手,n
頼む,v5m vt
頃,n
形,n n-suf
見事,adj-na adv
続ける,v1 vt aux-v
平和,n adj-na
当たる,v5r vi
人気,n
真似,n vs
死,n
感触,n
場合,n
女,n
見送る,v5r vt
微妙,adj-na n
相手,n
数,n
女の子,exp n
病気,n
残念,adj-na n
依頼,n vs vt
時,suf
自然,n
お願いします,exp
格好,n
今度,n adv
誤解,n vs vt vi
真剣,adj-na
兄,n
衝撃,n
決まる,v5r vi
二つ,num
問題,n
身体,n
初めて,adv adj-no
果たす,v5s vt
人,suf
四つ,num
飲み込む,v5m vt
携帯,n vs vt
逃げ出す,v5s vi
薄い,adj-i
弱い,adj-i
穏やか,adj-na
気,n
抱く,v4k vt
熱,n
形,n adj-no
選択,n vs vt
保つ,v5t vt
地下,n adj-no
お父さん,n
簡単,adj-na n
味方,n adj-no
楽しむ,v5m vt
倒す,v5s vt
不思議,adj-na n
価値,n
嫌,adj-na
開ける,v1 vi
抜く,v5k vt
何,pn
五,num
逃げる,v1 vi
預ける,v1 vt
送る,v5r vt
後,n adv adj-no
手伝う,v5u vt
殺す,v5s vt
降る,v5r vi
言い方,n
最大,n adj-no
協力,n vs vi
重要,adj-na
始まる,v5r vi
さん,suf
十,num
調子,n
強い,adj-i
感謝,n vs vt vi
死ぬ,v5n vn vi
どんな,adj-pn
約束,n vs vt
全て,n adj-no
避ける,v1 vt
参加,n vs vi
入れる,v1 vt
最後,n
広げる,v1 vt
大切,adj-na
貴族,n adj-no
恐ろしい,adj-i
嘘,n adj-no
起こす,v5s vt
関わる,v5r vi
勝利,n vs vi
待つ,v5t vt vi
度,pref
いつの間にか,adv
型,n n-suf
空気,n
床,n
助かる,v5r vi
崩れる,v1 vi
済む,v5m vi
男,n n-pref
そっと,adv
低い,adj-i
流す,v5s vt
色,n
作戦,n
並ぶ,v5b vi
結局,adv
死体,n
少女,n
転がる,v5r vi
城,n
何より,exp adv
髪,n
落ち着く,v5k vi
正確,adj-na n
目標,n
唯一,adj-no n adv
結構,adj-na
残す,v5s vt
もう,adv
止まる,v5r vi
正に,adv
変える,v1 vt
大分,adv
許す,v5s vt
痛い,adj-i
情けない,adj-i
差し出す,v5s vt
目,n
決める,v1 vt
場,n-suf n
我々,pn
頑張る,v5r vi
足りる,v1 vi
丁寧,adj-na n
洗う,v5u vt
いいえ,int
冬,n adv
過去,n adv adj-no
話題,n
自然,n adv
色,ctr
出す,v5s vt
間,n suf
沈黙,n vs vi
笑顔,n
難しい,adj-i
